ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
seatgeek-6mOhKZkzAdo,seatgeek,O,319,Section 319 Row O,Section 319 Row O,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKZkzAdo,3,1662411189352
seatgeek-6mOhKp2o6jL,seatgeek,B,332,Section 332 Row B,Section 332 Row B,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKp2o6jL,3,1662064430157
seatgeek-6mOhKp8Xzea,seatgeek,J,311,Section 311 Row J,Section 311 Row J,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKp8Xzea,15,1662596828482
seatgeek-6mOhKp8l7Rx,seatgeek,O,333,Section 333 Row O,Section 333 Row O,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKp8l7Rx,45,1662596828482
seatgeek-6mOhKpAgma8,seatgeek,A,106,Section 106 Row A,Section 106 Row A,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpAgma8,9,1662386052723
seatgeek-6mOhKpAgvYz,seatgeek,D,103,Section 103 Row D,Section 103 Row D,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpAgvYz,3,1662068155650
seatgeek-6mOhKpDlM57,seatgeek,A,320,Section 320 Row A,Section 320 Row A,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpDlM57,12,1662421587646
seatgeek-6mOhKpJqLEg,seatgeek,X,320,Section 320 Row X,Section 320 Row X,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpJqLEg,20,1662596828482
seatgeek-6mOhKpLNx8x,seatgeek,C,57,Section 57 Row C,Section 57 Row C,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpLNx8x,16,1662581280213
seatgeek-6mOhKpXbA7r,seatgeek,U,329,Section 329 Row U,Section 329 Row U,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpXbA7r,103,1662596828482
seatgeek-6mOhKpY4nom,seatgeek,G,126,Section 126 Row G,Section 126 Row G,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpY4nom,3,1662596828482
seatgeek-6mOhKpZol5l,seatgeek,J,301,Section 301 Row J,Section 301 Row J,https://seatgeek.com/us-open-tennis-session-24-womens-final-mixed-doubles-final-tickets/tennis/2022-09-10-12-pm/r/5511060?listing=6mOhKpZol5l,3,1662035957730
