ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
stubhub-5501092709,stubhub,L,135,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501092709,4,1662915973138
stubhub-5500250484,stubhub,M,124,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5500250484,3,1662908585357
vividseats-VB5773092803,vividseats,W,317,Promenade 317,,https://www.vividseats.com//production/3736730?showDetails=VB5773092803&qty=1,1,1662863508793
vividseats-VB5772450383,vividseats,C,105,Loge 105,,https://www.vividseats.com//production/3736730?showDetails=VB5772450383&qty=1,1,1662863508793
seatgeek-NrqUJMwaO68,seatgeek,F,107,Section 107 Row F,Section 107 Row F,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=NrqUJMwaO68,2,1662908585357
seatgeek-9P2cxr4bOml,seatgeek,H,64,Section 64 Row H,Section 64 Row H,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=9P2cxr4bOml,7,1662908585357
stubhub-5490111780,stubhub,Y,328,Promenade,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5490111780,1,1662861991314
seatgeek-mxAsLm4vJoJ,seatgeek,V,323,Section 323 Row V,Section 323 Row V,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=mxAsLm4vJoJ,3,1662861991314
vividseats-VB5772956999,vividseats,E,134,Loge 134,,https://www.vividseats.com//production/3736730?showDetails=VB5772956999&qty=1,1,1662863508793
seatgeek-3q7fv0Nx7oo,seatgeek,H,105,Section 105 Row H,Section 105 Row H,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=3q7fv0Nx7oo,3,1662861991314
seatgeek-JABI523MG09,seatgeek,R,308,Section 308 Row R,Section 308 Row R,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=JABI523MG09,3,1662861991314
vividseats-VB5774777429,vividseats,N,101,Loge 101,,https://www.vividseats.com//production/3736730?showDetails=VB5774777429&qty=1,2,1662921998582
stubhub-5501381935,stubhub,M,135,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501381935,1,1662895455075
